Product ID,Price in USD,Category ID,Category alias,Brand ID,Product gender
1313550904313512734,321.78,1806829201915904347,jewelry.pendant,1,f
1313551664447226717,572.47,1806829201865572696,jewelry.bracelet,1,f
1313552505925272466,113.56,1806829201882349913,jewelry.ring,1,f
1313552709323850660,547.81,1806829201890738522,jewelry.earring,1,f
1313553035095442363,143.70,1806829201882349913,jewelry.ring,1,f
1313553543965180896,511.84,1806829201865572696,jewelry.bracelet,,u
1313553621761131495,383.42,1806829201890738522,jewelry.earring,0,u
1313554173865754643,912.08,1806829201890738522,jewelry.earring,1,f
1313555051020550227,169.86,1806829201882349913,jewelry.ring,1,f
1313555316125728867,126.00,1806829201915904347,jewelry.pendant,0,u
1313555857157390470,421.82,1806829201924292956,jewelry.necklace,2,f
1313555876904173703,306.85,1313677632247693858,electronics.clocks,,u
1313555937646084237,75.21,1806829201915904347,jewelry.pendant,0,u
1313556241246585000,1232.74,1806829201882349913,jewelry.ring,1,f
1313556339795951793,564.63,1806829201890738522,jewelry.earring,1,f
1313556402341413049,79.32,1806829201890738522,jewelry.earring,1,f
1313556823868965088,321.78,1806829201882349913,jewelry.ring,1,f
1313557411054747909,2287.67,1806829201890738522,jewelry.earring,1,f
1313557587249070357,246.44,1806829201915904347,jewelry.pendant,1,f
1313558492237267276,634.51,1806829201848795479,,1,f
1313558936732828006,95.75,1806829201890738522,jewelry.earring,,f
1313559480574673285,725.89,1806829201890738522,jewelry.earring,1,f
1313559841939128719,266.99,1806829201890738522,jewelry.earring,1,f
1313559960394662292,403.97,1806829201890738522,jewelry.earring,1,f
1313560448569704877,321.78,1806829201882349913,jewelry.ring,1,f
1313560562679939513,51.92,1806829201890738522,jewelry.earring,1,u
1313561767678312970,109.45,1806829201915904347,jewelry.pendant,2,f
1313562053209752091,180.67,1806829201882349913,jewelry.ring,1,f
1313562395414626864,176.00,1313677631861817867,jewelry.bracelet,0,u
1313563815597572710,335.48,1806829201890738522,jewelry.earring,0,u
1313563836569092711,219.04,1806829201882349913,jewelry.ring,1,f
1313565427896419030,157.40,1806829201882349913,jewelry.ring,1,f
1313566212071883522,120.37,1806829201882349913,jewelry.ring,0,u
1313566278476104457,140.23,1806829201890738522,jewelry.earring,1,f
1313566719356175135,23.15,1806829201915904347,jewelry.pendant,1,f
1313566886977340196,142.33,1806829201890738522,jewelry.earring,1,f
1313567409914774327,150.55,1806829201882349913,jewelry.ring,1,f
1313568394905125725,69.07,1313677632054755863,,,u
1313568589067846502,24.81,1806829201915904347,jewelry.pendant,1,f
1313569176320738173,410.82,1806829201890738522,jewelry.earring,1,f
1313569482051945353,191.64,1806829201882349913,jewelry.ring,0,u
1313569629540451213,191.64,1806829201890738522,jewelry.earring,1,f
1313569669780603792,623.15,1806829201890738522,jewelry.earring,1,f
1313570294371189670,102.60,1806829201915904347,jewelry.pendant,1,f
1313570343050281899,505.48,1806829201848795479,,,f
1313570478366917552,473.40,1806829201890738522,jewelry.earring,1,f
1313570839739761600,410.82,1806829201915904347,jewelry.pendant,1,f
1313571420306932696,360.12,1806829201848795479,,1,u
1313571920393798634,732.74,1806829201890738522,jewelry.earring,1,f
1313572656259268620,289.73,1313677631878595084,jewelry.ring,,u
1313573202357649443,125.89,1806829201882349913,jewelry.ring,1,f
1313575244304220279,112.05,1313677631878595084,jewelry.ring,0,u
1313575793699324042,186.74,1806829201890738522,jewelry.earring,1,f
1313576591556608164,263.67,1806829201915904347,jewelry.pendant,1,f
1313578499151233251,218.18,1806829201890738522,jewelry.earring,,f
1313580796807741761,397.12,1806829201915904347,jewelry.pendant,1,f
1313581477518115156,162.93,1806829201915904347,jewelry.pendant,2,u
1313582363145404791,302.60,1806829201882349913,jewelry.ring,0,u
1313582952218624402,218.15,1313677631878595084,jewelry.ring,,u
1313584452395336150,96.58,1806829201915904347,jewelry.pendant,1,u
1313584718314209766,301.23,1806829201882349913,jewelry.ring,1,f
1313584799054561770,143.70,1806829201882349913,jewelry.ring,1,f
1313586102929457702,438.22,1806829201890738522,jewelry.earring,1,f
1313586629910200892,112.16,1806829201882349913,jewelry.ring,1,u
1313587286243279440,212.19,1806829201882349913,jewelry.ring,1,f
1313587352983044693,959.67,1806829201890738522,jewelry.earring,1,f
1313587843011969645,287.53,1806829201890738522,jewelry.earring,1,f
1313589287035339454,178.67,1806829201890738522,jewelry.earring,,u
1313589518938407634,266.99,1806829201882349913,jewelry.ring,1,f
1313590160566256373,90.59,1313677631836652042,jewelry.pendant,0,u
1313590529514013451,510.38,1806829201890738522,jewelry.earring,1,f
1313590958650032934,361.18,1806829201865572696,jewelry.bracelet,1,u
1313592526841578350,1195.15,1806829201882349913,jewelry.ring,1,f
1313593255551566731,917.67,1806829201890738522,jewelry.earring,1,f
1313593402687751060,643.70,1806829201890738522,jewelry.earring,1,f
1313593494492677014,314.38,1313677631836652042,jewelry.pendant,,u
1313593517343245207,50.10,1806829201915904347,jewelry.pendant,1,f
1313593895518471082,369.73,1806829201882349913,jewelry.ring,0,u
1313594101173584821,159.07,1806829201915904347,jewelry.pendant,1,f
1313594602954949584,1943.84,1313677631912149518,jewelry.necklace,0,u
1313594620143207379,145.66,1806829202092065124,jewelry.souvenir,2,u
1313595120347513842,273.84,1806829201882349913,jewelry.ring,1,f
1313595139800695797,145.57,1313677631895372301,jewelry.earring,0,u
1313599163027423403,554.66,1806829201882349913,jewelry.ring,0,u
1313599208619507886,86.89,1806829201882349913,jewelry.ring,0,u
1313599513520242876,335.48,1806829201865572696,jewelry.bracelet,0,u
1313600627317670113,177.97,1806829201915904347,jewelry.pendant,1,u
1313602888945107249,595.75,1806829201890738522,jewelry.earring,1,f
1313603520489849152,143.70,1806829201915904347,jewelry.pendant,0,u
1313603943032422733,130.00,1806829201915904347,jewelry.pendant,2,f
1313604424647573863,184.79,1806829201882349913,jewelry.ring,1,f
1313605477292048772,280.68,1806829201924292956,jewelry.necklace,0,u
1313605710965113231,38.16,1806829201915904347,jewelry.pendant,1,f
1313606423887741349,208.08,1806829201890738522,jewelry.earring,1,f
1313606827841159598,331.51,1806829201915904347,jewelry.pendant,1,f
1313607237003903421,547.81,1806829201890738522,jewelry.earring,1,f
1313608708902617574,436.30,1806829201890738522,jewelry.earring,,f
1313609471544525306,335.48,1806829201882349913,jewelry.ring,1,f
1313609583196897788,246.44,1806829201882349913,jewelry.ring,0,u
1313610281112306188,116.30,1806829201882349913,jewelry.ring,1,f
1313610450746737171,656.85,1806829201890738522,jewelry.earring,,f
1313611341298139692,301.23,1806829201890738522,jewelry.earring,0,u
1313612869476024913,397.12,1806829201882349913,jewelry.ring,1,f
1313614230015967859,903.97,1806829201890738522,jewelry.earring,1,f
1313614474141237880,125.89,1806829201882349913,jewelry.ring,1,f
1313614784477790844,252.01,1806829201915904347,jewelry.pendant,1,f
1313614938341638784,1314.93,1806829201882349913,jewelry.ring,1,f
1313615233947796102,719.04,1806829201890738522,jewelry.earring,1,f
1313615497056486028,205.34,1806829201890738522,jewelry.earring,1,f
1313615611015725712,869.73,1806829201890738522,jewelry.earring,1,f
1313615709095330450,157.40,1806829201882349913,jewelry.ring,1,f
1313616201934439074,342.33,1806829201890738522,jewelry.earring,0,u
1313617633727218375,102.60,1806829201890738522,jewelry.earring,1,f
1313618165044871890,54.66,1806829201915904347,jewelry.pendant,,f
1313618709926904543,143.99,1806829201882349913,jewelry.ring,1,f
1313620745665905448,417.67,1806829201882349913,jewelry.ring,1,f
1313620912439821099,228.48,1806829201890738522,jewelry.earring,1,u
1313624739423454128,164.25,1806829201915904347,jewelry.pendant,,f
1313627113667953654,198.49,1806829201882349913,jewelry.ring,1,f
1313627873701003271,143.70,1806829201915904347,jewelry.pendant,1,f
1313628771089121309,52.73,1313677632264471075,jewelry.pendant,2,u
1313629049205030954,362.88,1806829201924292956,jewelry.necklace,1,f
1313630260335476808,130.00,1806829201882349913,jewelry.ring,1,f
1313630887048380500,479.32,1806829201882349913,jewelry.ring,0,u
1313633480361377933,609.59,1313677631895372301,jewelry.earring,,u
1313636155295531201,193.16,1806829201890738522,jewelry.earring,1,f
1313636729604800714,452.01,1806829201865572696,jewelry.bracelet,2,f
1313638399524995312,177.95,1806829201882349913,jewelry.ring,1,f
1313639439183905027,349.18,1806829201882349913,jewelry.ring,1,f
1313640124877111565,205.34,1806829201890738522,jewelry.earring,1,f
1313642535343620395,254.47,1806829201890738522,jewelry.earring,,u
1313643965601284418,267.53,1313677632247693858,electronics.clocks,6,u
1313644326462423368,308.05,1806829201848795479,,1,u
1313647544449892761,364.29,1806829201924292956,jewelry.necklace,2,f
1313649233454170557,1123.15,1806829201890738522,jewelry.earring,2,f
1313650947531997652,38.31,1313677631878595084,jewelry.ring,,u
1313651349992243678,971.95,1806829201890738522,jewelry.earring,1,f
1313651891879543272,232.74,1806829201890738522,jewelry.earring,1,f
1313653653931819723,2493.11,1806829201882349913,jewelry.ring,1,f
1313654152911389392,664.25,1806829201890738522,jewelry.earring,1,f
1313656343571202811,43.27,1806829201882349913,jewelry.ring,1,f
1313667406349992836,139.04,1806829201848795479,,,u
1313669457037493150,251.92,1806829201882349913,jewelry.ring,0,u
1313671196834792382,513.56,1806829201890738522,jewelry.earring,1,f
1313671493296587715,260.14,1806829201882349913,jewelry.ring,1,f
1313674906101089266,246.44,1806829201890738522,jewelry.earring,0,u
1313676436199964690,136.85,1806829201882349913,jewelry.ring,1,f
1313677630528028757,598.95,1806829201890738522,jewelry.earring,1,f
1313677630528028759,2034.11,1806829201890738522,jewelry.earring,1,f
1313677630528028760,493.01,1806829201890738522,jewelry.earring,1,f
1313677630528028761,345.52,1806829201848795479,,1,f
